B2X0	('Income', 'Tax', 'Cash', 'Products', 'Data', 'Accelerated Computing', 'Data Center', 'Non-GAAP')
B110X1	('Directors',)
B114X1	('Directors',)
B116X1	('Directors',)
B122X1	('Directors',)
B124X1	('Stock', 'Directors')
B130X1	('Directors',)
B138X1	('Management',)
B148X1	('Year 2022',)
B150X1	('Year 2022',)
B152X1	('Equity',)
B154X1	('Stock', 'Year 2022')
B166X1	('Year 2023',)
B170X1	('Directors',)
B172X1	('Stock', 'Common Stock')
B174X1	('Equity',)
B176X1	('Equity',)
B184X1	('Equity',)
B185X1	('Management', 'Securities')
B188X1	('Equity',)
B190X1	('Stock', 'Year 2022', 'Income', 'Cash', 'Revenue', 'Directors', 'Securities', 'Restricted Stock', 'Non-GAAP')
B193X1	('Year 2022', 'Income', 'Revenue', 'Data', 'Data Center')
B194X1	('Year 2022', 'Income', 'Revenue')
B204X1	('Year 2022',)
B205X1	('Products', 'Revenue')
B206X1	('Revenue', 'Data', 'Data Center')
B207X1	('Products', 'Revenue')
B208X1	('Stock', 'Year 2022')
B212X1	('Stock',)
B213X1	('Stock', 'Directors', 'Management')
B217X1	('Year 2023',)
B219X1	('Stock', 'Common Stock')
B225X1	('Directors',)
B263X1	('Directors',)
B265X1	('Directors',)
B266X1	('Management',)
B267X1	('Stock',)
B282X1	('Directors',)
B285X1	('Management',)
B292X1	('Directors',)
B298X1	('Stock',)
B301X1	('Stock', 'Year 2022', 'Directors')
B303X1	('Stock', 'Year 2022', 'Income', 'Cash', 'Revenue', 'Equity', 'Non-GAAP')
B305X1	('Year 2022',)
B321X1	('Income', 'Cash', 'Revenue', 'Non-GAAP')
B327X1	('Income', 'Revenue', 'Non-GAAP')
B328X1	('Stock', 'Year 2023', 'Directors', 'Equity', 'Common Stock')
B330X1	('Stock', 'Equity', 'Common Stock')
B334X1	('Stock',)
B335X1	('Stock',)
B337X1	('Stock',)
B339X1	('Stock', 'Common Stock')
B340X1	('Stock',)
B341X1	('Stock',)
B343X1	('Stock',)
B349X1	('Stock', 'Directors', 'Equity')
B351X1	('Stock', 'Common Stock')
B355X1	('Directors',)
B359X1	('Year 2023',)
B361X1	('Stock', 'Common Stock')
B366X1	('Stock',)
B368X1	('Stock', 'Common Stock')
B370X1	('Stock', 'Directors')
B373X1	('Stock',)
B376X1	('Stock',)
B378X1	('Directors',)
B379X1	('Stock', 'Directors')
B400X1	('Management',)
B419X1	('Directors',)
B426X1	('Management',)
B429X1	('Management',)
B431X1	('Management',)
B434X1	('Stock',)
B435X1	('Stock',)
B437X1	('Directors',)
B439X1	('Stock', 'Products', 'Directors', 'Management', 'Financial Statements')
